timestamp,ip,datum,tijd,versie,herkomst,welkom,lezen-een,lezen-twee,enquete,bedankt,dialoog,intrekken,prettig,lezer,dialoog
1482315163,89.200.3.72,2016-12-21,10:12:43,versiea,,6,0,0,0,0,0,0,0,'',''
1482315824,62.131.6.137,2016-12-21,10:23:44,versiea,https://t.co/GCWN2FZd4O,14,7,23,0,0,0,0,0,'',''
1482316474,83.162.211.227,2016-12-21,10:34:34,versieb,http://m.facebook.com,3,0,0,0,0,0,0,0,'',''
1482316963,86.80.159.235,2016-12-21,10:42:43,versiea,https://www.facebook.com/,0,5,396,241,14,6,7,7,lezer,''
1482317106,83.161.159.178,2016-12-21,10:45:06,versieb,https://www.facebook.com/,0,7396,116,128,19,7,7,7,lezer,''
1482318173,84.197.149.67,2016-12-21,11:02:53,versieb,http://m.facebook.com,7,0,0,0,0,0,0,0,'',''
1482319891,89.200.15.203,2016-12-21,11:31:31,versieb,,4,7,18,22,0,0,0,0,'',''
1482321661,95.96.224.212,2016-12-21,12:01:01,versieb,http://m.facebook.com,34548,0,0,0,0,0,0,0,'',''
1482321764,86.91.160.187,2016-12-21,12:02:44,versiea,https://lm.facebook.com/l.php?u=https%3A%2F%2Fnutesten.nl%2Ftekst%2F&h=2AQEWHeZi&enc=AZO1gwh3pMA5K6EuMOPLtd6Cr5yg_xGmhlKjOJw6XGNzdPfyWKsAnWJ6Yw4Tpp_gbrdVv64fo5pXNcejyZF30BeiHCigR-vw-eejl7r0F2X7D2-h-VGC_IOs19SP_xi5WbGRNDHEOZdFaufQ2Z-j2mV9PsTWVSLMh5Il998sbw07kARLVUPLvRpwpZoyp82cBIs&s=1,2,0,0,0,0,0,0,0,'',''
1482322314,62.140.137.90,2016-12-21,12:11:54,versieb,,6,0,0,0,0,0,0,0,'',''
1482324730,109.69.228.215,2016-12-21,12:52:10,versieb,https://t.co/GCWN2FZd4O,1,0,0,0,0,0,0,0,'',''
1482329537,84.196.114.89,2016-12-21,14:12:17,versieb,http://m.facebook.com,17,0,0,0,0,0,0,0,'',''
1482330131,82.95.252.55,2016-12-21,14:22:11,versiea,http://m.facebook.com,2,6,298,202,33,4,4,4,lezer,''
1482332247,84.86.78.155,2016-12-21,14:57:27,versieb,android-app://m.facebook.com,1,0,0,0,0,0,0,0,'',''
1482333158,84.196.114.89,2016-12-21,15:12:38,versieb,http://m.facebook.com,12,8,137,355,144,6,6,6,lezer,''
1482333650,86.86.188.138,2016-12-21,15:20:50,versiea,https://www.facebook.com/,18,7,205,254,21,4,5,4,lezer,''
1482333836,84.196.114.89,2016-12-21,15:23:56,versieb,http://m.facebook.com,5,4,6,3,0,0,0,0,'',''
1482334016,117.7.239.6,2016-12-21,15:26:56,versieb,http://m.facebook.com,21611,11,100,94,0,0,0,0,'',''
1482337917,92.108.248.86,2016-12-21,16:31:57,versiea,http://m.facebook.com/,210,2,2,163,55,7,7,7,schrijver,'Snel het vervolg svp. Ben benieuwd naar meer.'
1482339146,82.217.106.177,2016-12-21,16:52:26,versiea,http://m.facebook.com,2,9,92,5,8,4,4,4,onbekend,''
1482340113,80.213.52.215,2016-12-21,17:08:33,versiea,http://m.facebook.com/,4,0,0,0,0,0,0,0,'',''
1482340668,84.24.63.206,2016-12-21,17:17:48,versieb,http://m.facebook.com/,29,0,0,0,0,0,0,0,'',''
1482343820,84.80.143.195,2016-12-21,18:10:20,versiea,http://m.facebook.com,2,7,260,222,22,6,6,7,lezer,''
1482344358,82.168.246.202,2016-12-21,18:19:18,versiea,http://m.facebook.com,2,5,148,155,21,7,7,7,lezer,''
